Year,Neuroinvasive,Non_neuroinvasive
2004,871,242
2005,1119,391
2006,1315,566
2007,1089,476
2008,642,168
2009,368,86
2010,607,111
2011,464,83
2012,2686,807
2013,1174,320
2014,1294,299
2015,1382,235
2016,1249,215
2017,1345,201
2018,1540,234
2019,584,78
2020,536,47
2021,1907,192
2022,772,90
2023,1665,227
2024,1267,133
